State,Source,Capacity Type,Capacity (in MW)
Himachal Pradesh,Bio Power,Installed Capacity,10.2
Himachal Pradesh,Small-Hydro,Potential Capacity,3460.34
Himachal Pradesh,Small-Hydro,Installed Capacity,1000.71
Jammu and Kashmir,Hydro,Potential Capacity,12264
Jammu and Kashmir,Hydro,Installed Capacity,3360
Jammu and Kashmir,Wind,Potential Capacity,0
Jammu and Kashmir,Wind,Installed Capacity,0
Jammu and Kashmir,Solar,Potential Capacity,111050
Jammu and Kashmir,Solar,Installed Capacity,74.49
Jammu and Kashmir,Bio Power,Potential Capacity,83
Jammu and Kashmir,Bio Power,Installed Capacity,0
Jammu and Kashmir,Small-Hydro,Potential Capacity,1311.79
Jammu and Kashmir,Small-Hydro,Installed Capacity,189.93
Jharkhand,Hydro,Potential Capacity,1800
Jharkhand,Hydro,Installed Capacity,210
Jharkhand,Wind,Potential Capacity,16
Jharkhand,Wind,Installed Capacity,0
Jharkhand,Solar,Potential Capacity,18180
Jharkhand,Solar,Installed Capacity,199.87
Jharkhand,Bio Power,Potential Capacity,146
Jharkhand,Bio Power,Installed Capacity,20.14
Jharkhand,Small-Hydro,Potential Capacity,227.96
Jharkhand,Small-Hydro,Installed Capacity,4.05
Karnataka,Hydro,Potential Capacity,12014
Karnataka,Hydro,Installed Capacity,3689.2
Karnataka,Wind,Potential Capacity,169251
Karnataka,Wind,Installed Capacity,7714.74
Karnataka,Solar,Potential Capacity,24700
Karnataka,Solar,Installed Capacity,9925.44
Karnataka,Bio Power,Potential Capacity,3556
Karnataka,Bio Power,Installed Capacity,1916.05
Karnataka,Small-Hydro,Potential Capacity,3726.49
Karnataka,Small-Hydro,Installed Capacity,1284.73
Kerala,Hydro,Potential Capacity,3673
Kerala,Hydro,Installed Capacity,1964.15
Kerala,Wind,Potential Capacity,2621
Kerala,Wind,Installed Capacity,71.27
Kerala,Solar,Potential Capacity,6110
Kerala,Solar,Installed Capacity,1787.94
Kerala,Bio Power,Potential Capacity,778
Kerala,Bio Power,Installed Capacity,2.5
Kerala,Small-Hydro,Potential Capacity,647.15
Kerala,Small-Hydro,Installed Capacity,276.52
Ladakh,Hydro,Potential Capacity,707
Ladakh,Hydro,Installed Capacity,89
Ladakh,Wind,Potential Capacity,1
Ladakh,Wind,Installed Capacity,0
Ladakh,Solar,Potential Capacity,0
Ladakh,Solar,Installed Capacity,7.8
Ladakh,Bio Power,Potential Capacity,0
Ladakh,Bio Power,Installed Capacity,0
Ladakh,Small-Hydro,Potential Capacity,395.65
Ladakh,Small-Hydro,Installed Capacity,45.79
Lakshadweep,Hydro,Potential Capacity,0
Lakshadweep,Hydro,Installed Capacity,0
Lakshadweep,Wind,Potential Capacity,31
Lakshadweep,Wind,Installed Capacity,0
Lakshadweep,Solar,Potential Capacity,0
Lakshadweep,Solar,Installed Capacity,4.97
Lakshadweep,Bio Power,Potential Capacity,2517
Lakshadweep,Bio Power,Installed Capacity,0
Lakshadweep,Small-Hydro,Potential Capacity,0
Lakshadweep,Small-Hydro,Installed Capacity,0
Madhya Pradesh,Hydro,Potential Capacity,11379
Madhya Pradesh,Hydro,Installed Capacity,2235
Madhya Pradesh,Wind,Potential Capacity,55423
Madhya Pradesh,Wind,Installed Capacity,3195.15
Madhya Pradesh,Solar,Potential Capacity,61660
Madhya Pradesh,Solar,Installed Capacity,5570.07
Madhya Pradesh,Bio Power,Potential Capacity,2516
Madhya Pradesh,Bio Power,Installed Capacity,155.46
Madhya Pradesh,Small-Hydro,Potential Capacity,820.44
Madhya Pradesh,Small-Hydro,Installed Capacity,123.71
Maharashtra,Hydro,Potential Capacity,46099
Maharashtra,Hydro,Installed Capacity,3047
Maharashtra,Wind,Potential Capacity,173868
Maharashtra,Wind,Installed Capacity,5307.71
Maharashtra,Solar,Potential Capacity,64320
Maharashtra,Solar,Installed Capacity,12575.27
Maharashtra,Bio Power,Potential Capacity,6547
Maharashtra,Bio Power,Installed Capacity,2998.3
Maharashtra,Small-Hydro,Potential Capacity,786.46
Maharashtra,Small-Hydro,Installed Capacity,384.28
Manipur,Hydro,Potential Capacity,615
Manipur,Hydro,Installed Capacity,105
Manipur,Wind,Potential Capacity,0
Manipur,Wind,Installed Capacity,0
Manipur,Solar,Potential Capacity,10630
Manipur,Solar,Installed Capacity,13.79
Manipur,Bio Power,Potential Capacity,62
Manipur,Bio Power,Installed Capacity,0
Manipur,Small-Hydro,Potential Capacity,99.95
Manipur,Small-Hydro,Installed Capacity,5.45
Meghalaya,Hydro,Potential Capacity,2026
Meghalaya,Hydro,Installed Capacity,322
Meghalaya,Wind,Potential Capacity,55
Meghalaya,Wind,Installed Capacity,0
Meghalaya,Solar,Potential Capacity,5860
Meghalaya,Solar,Installed Capacity,4.28
Meghalaya,Bio Power,Potential Capacity,69
Meghalaya,Bio Power,Installed Capacity,13.8
Meghalaya,Small-Hydro,Potential Capacity,230.05
Meghalaya,Small-Hydro,Installed Capacity,55.03
Mizoram,Hydro,Potential Capacity,7477
Mizoram,Hydro,Installed Capacity,60
Mizoram,Wind,Potential Capacity,0
Mizoram,Wind,Installed Capacity,0
Mizoram,Solar,Potential Capacity,9090
Mizoram,Solar,Installed Capacity,30.39
Mizoram,Bio Power,Potential Capacity,3
Mizoram,Bio Power,Installed Capacity,0
Mizoram,Small-Hydro,Potential Capacity,168.9
Mizoram,Small-Hydro,Installed Capacity,45.47
Nagaland,Hydro,Potential Capacity,325
Nagaland,Hydro,Installed Capacity,75
Nagaland,Wind,Potential Capacity,0
Nagaland,Wind,Installed Capacity,0
Nagaland,Solar,Potential Capacity,7290
Nagaland,Solar,Installed Capacity,3.17
Nagaland,Bio Power,Potential Capacity,353
Nagaland,Bio Power,Installed Capacity,0
Nagaland,Small-Hydro,Potential Capacity,182.18
Nagaland,Small-Hydro,Installed Capacity,32.67
Odisha,Hydro,Potential Capacity,7620
Odisha,Hydro,Installed Capacity,2154.55
Odisha,Wind,Potential Capacity,12129
Odisha,Wind,Installed Capacity,0
Odisha,Solar,Potential Capacity,25780
Odisha,Solar,Installed Capacity,706.34
Odisha,Bio Power,Potential Capacity,299
Odisha,Bio Power,Installed Capacity,64.22
Odisha,Small-Hydro,Potential Capacity,286.22
Odisha,Small-Hydro,Installed Capacity,115.63
Others,Hydro,Potential Capacity,0
Others,Hydro,Installed Capacity,0
Others,Wind,Potential Capacity,0
Others,Wind,Installed Capacity,4.3
Others,Solar,Potential Capacity,790
Others,Solar,Installed Capacity,45.01
Others,Bio Power,Potential Capacity,284
Others,Bio Power,Installed Capacity,0
Others,Small-Hydro,Potential Capacity,0
Others,Small-Hydro,Installed Capacity,0
Puducherry,Hydro,Potential Capacity,0
Puducherry,Hydro,Installed Capacity,0
Puducherry,Wind,Potential Capacity,408
Puducherry,Wind,Installed Capacity,0
Puducherry,Solar,Potential Capacity,0
Puducherry,Solar,Installed Capacity,69.01
Puducherry,Bio Power,Potential Capacity,5
Puducherry,Bio Power,Installed Capacity,0
Puducherry,Small-Hydro,Potential Capacity,0
Puducherry,Small-Hydro,Installed Capacity,0
Punjab,Hydro,Potential Capacity,1301
Punjab,Hydro,Installed Capacity,1096.3
Punjab,Wind,Potential Capacity,428
Punjab,Wind,Installed Capacity,0
Punjab,Solar,Potential Capacity,2810
Punjab,Solar,Installed Capacity,1427.23
Punjab,Bio Power,Potential Capacity,3436
Punjab,Bio Power,Installed Capacity,576.59
Punjab,Small-Hydro,Potential Capacity,578.28
Punjab,Small-Hydro,Installed Capacity,176.1
Rajasthan,Hydro,Potential Capacity,9611
Rajasthan,Hydro,Installed Capacity,411
Rajasthan,Wind,Potential Capacity,284250
Rajasthan,Wind,Installed Capacity,5208.75
Rajasthan,Solar,Potential Capacity,142310
Rajasthan,Solar,Installed Capacity,31967.69
Rajasthan,Bio Power,Potential Capacity,1300
Rajasthan,Bio Power,Installed Capacity,207.52
Rajasthan,Small-Hydro,Potential Capacity,51.67
Rajasthan,Small-Hydro,Installed Capacity,23.85
Sikkim,Hydro,Potential Capacity,6051
Sikkim,Hydro,Installed Capacity,2282
Sikkim,Wind,Potential Capacity,0
Sikkim,Wind,Installed Capacity,0
Sikkim,Solar,Potential Capacity,4940
Sikkim,Solar,Installed Capacity,7.56
Sikkim,Bio Power,Potential Capacity,2204
Sikkim,Bio Power,Installed Capacity,0
Sikkim,Small-Hydro,Potential Capacity,266.64
Sikkim,Small-Hydro,Installed Capacity,55.11
Tamil Nadu,Hydro,Potential Capacity,18285
Tamil Nadu,Hydro,Installed Capacity,2178.2
Tamil Nadu,Wind,Potential Capacity,95107
Tamil Nadu,Wind,Installed Capacity,11830.37
Tamil Nadu,Solar,Potential Capacity,17670
Tamil Nadu,Solar,Installed Capacity,10570.88
Tamil Nadu,Bio Power,Potential Capacity,2199
Tamil Nadu,Bio Power,Installed Capacity,1046.62
Tamil Nadu,Small-Hydro,Potential Capacity,604.46
Tamil Nadu,Small-Hydro,Installed Capacity,123.05
Telangana,Hydro,Potential Capacity,10057
Telangana,Hydro,Installed Capacity,2405.6
Telangana,Wind,Potential Capacity,54717
Telangana,Wind,Installed Capacity,128.1
Telangana,Solar,Potential Capacity,20410
Telangana,Solar,Installed Capacity,4842.1
Telangana,Bio Power,Potential Capacity,1795
Telangana,Bio Power,Installed Capacity,221.67
Telangana,Small-Hydro,Potential Capacity,102.25
Telangana,Small-Hydro,Installed Capacity,90.87
Tripura,Hydro,Potential Capacity,0
Tripura,Hydro,Installed Capacity,0
Tripura,Wind,Potential Capacity,0
Tripura,Wind,Installed Capacity,0
Tripura,Solar,Potential Capacity,2080
Tripura,Solar,Installed Capacity,21.71
Tripura,Bio Power,Potential Capacity,34
Tripura,Bio Power,Installed Capacity,0
Tripura,Small-Hydro,Potential Capacity,46.86
Tripura,Small-Hydro,Installed Capacity,16.01
Uttarakhand,Hydro,Potential Capacity,14481
Uttarakhand,Hydro,Installed Capacity,4285.35
Uttarakhand,Wind,Potential Capacity,49
Uttarakhand,Wind,Installed Capacity,0
Uttarakhand,Solar,Potential Capacity,16800
Uttarakhand,Solar,Installed Capacity,593.07
Uttarakhand,Bio Power,Potential Capacity,308
Uttarakhand,Bio Power,Installed Capacity,149.57
Uttarakhand,Small-Hydro,Potential Capacity,1664.31
Uttarakhand,Small-Hydro,Installed Capacity,233.82
West Bengal,Hydro,Potential Capacity,6309
West Bengal,Hydro,Installed Capacity,1341.2
West Bengal,Wind,Potential Capacity,1281
West Bengal,Wind,Installed Capacity,0
West Bengal,Solar,Potential Capacity,6260
West Bengal,Solar,Installed Capacity,320.62
West Bengal,Bio Power,Potential Capacity,1742
West Bengal,Bio Power,Installed Capacity,351.86
West Bengal,Small-Hydro,Potential Capacity,392.06
West Bengal,Small-Hydro,Installed Capacity,98.5
